iter	Passed	Remaining
400	19631	32360
401	19675	32303
402	19718	32244
403	19766	32193
404	19812	32139
405	19855	32082
406	19902	32029
407	19950	31979
408	20002	31935
409	20054	31891
410	20098	31835
411	20146	31785
412	20195	31735
413	20246	31689
414	20292	31637
415	20342	31589
416	20382	31527
417	20421	31462
418	20468	31410
419	20511	31353
420	20558	31302
421	20602	31245
422	20648	31192
423	20653	31077
424	20699	31024
425	20746	30974
426	20792	30921
427	20845	30877
428	20891	30825
429	20934	30768
430	20982	30719
431	21027	30665
432	21073	30612
433	21118	30558
434	21162	30503
435	21208	30451
436	21258	30403
437	21303	30350
438	21352	30301
439	21398	30250
440	21449	30203
441	21504	30164
442	21552	30114
443	21601	30066
444	21652	30021
445	21702	29974
446	21748	29922
447	21793	29868
448	21839	29816
449	21890	29771
450	21935	29717
451	21979	29662
452	22026	29612
453	22072	29559
454	22119	29509
455	22163	29454
456	22208	29401
457	22264	29362
458	22310	29310
459	22356	29258
460	22399	29201
461	22445	29150
462	22493	29101
463	22539	29049
464	22587	28999
465	22637	28953
466	22682	28899
467	22728	28848
468	22775	28797
469	22819	28742
470	22863	28688
471	22908	28635
472	22960	28591
473	23005	28538
474	23054	28491
475	23102	28440
476	23149	28390
477	23196	28340
478	23241	28287
479	23295	28246
480	23339	28192
481	23383	28138
482	23431	28088
483	23476	28035
484	23525	27988
485	23572	27937
486	23619	27887
487	23666	27837
488	23714	27788
489	23757	27733
490	23805	27684
491	23811	27586
492	23858	27536
493	23905	27486
494	23952	27436
495	23996	27382
496	24047	27337
497	24093	27286
498	24146	27243
499	24192	27192
500	24239	27142
501	24291	27097
502	24333	27042
503	24379	26991
504	24427	26942
505	24481	26900
506	24534	26856
507	24580	26806
508	24624	26752
509	24673	26705
510	24729	26665
511	24776	26615
512	24828	26570
513	24881	26527
514	24935	26485
515	24979	26432
516	25024	26380
517	25070	26328
518	25129	26291
519	25178	26243
520	25225	26194
521	25277	26149
522	25325	26100
523	25375	26053
524	25424	26005
525	25476	25960
526	25520	25907
527	25568	25858
528	25614	25808
529	25662	25758
530	25712	25712
531	25760	25663
532	25806	25613
533	25854	25563
534	25902	25514
535	25944	25460
536	25990	25409
537	26039	25362
538	26090	25316
539	26144	25273
540	26196	25227
541	26250	25185
542	26296	25134
543	26336	25078
544	26377	25022
545	26426	24974
546	26478	24929
547	26484	24841
548	26542	24801
549	26588	24751
550	26635	24701
551	26683	24652
552	26734	24607
553	26744	24524
554	26796	24479
555	26848	24434
556	26895	24384
557	26939	24332
558	26987	24283
559	27037	24237
560	27085	24189
561	27139	24145
562	27192	24101
563	27201	24018
564	27247	23968
565	27293	23918
566	27346	23874
567	27399	23829
568	27444	23779
569	27490	23728
570	27543	23684
571	27588	23633
572	27640	23588
573	27689	23540
574	27737	23492
575	27784	23443
576	27839	23400
577	27892	23356
578	27936	23304
579	27981	23253
580	28027	23203
581	28071	23151
582	28118	23102
583	28158	23047
584	28215	23006
585	28269	22963
586	28322	22918
587	28362	22863
588	28411	22815
589	28463	22770
590	28513	22724
591	28566	22679
592	28611	22628
593	28657	22578
594	28706	22530
595	28758	22485
596	28805	22436
597	28854	22388
598	28902	22340
599	28949	22291
600	29001	22245
601	29048	22196
602	29099	22150
603	29148	22103
604	29195	22053
605	29241	22003
606	29287	21953
607	29336	21905
608	29385	21857
609	29437	21812
610	29484	21763
611	29529	21712
612	29579	21665
613	29629	21618
614	29673	21567
615	29718	21517
616	29765	21468
617	29819	21423
618	29863	21372
619	29916	21327
620	29968	21282
621	30017	21234
622	30070	21189
623	30123	21144
624	30166	21092
625	30212	21042
626	30259	20993
627	30295	20936
628	30334	20882
629	30378	20831
630	30415	20774
631	30455	20721
632	30494	20666
633	30534	20612
634	30571	20557
635	30611	20504
636	30649	20449
637	30691	20396
638	30731	20343
639	30770	20289
640	30807	20234
641	30850	20182
642	30889	20128
643	30927	20074
644	30962	20017
645	31004	19965
646	31012	19892
647	31052	19838
648	31091	19785
649	31129	19731
650	31169	19678
651	31209	19625
652	31263	19581
653	31314	19535
654	31375	19495
655	31423	19448
656	31478	19404
657	31529	19358
658	31583	19314
659	31634	19268
660	31687	19223
661	31739	19177
662	31785	19128
663	31829	19078
664	31874	19028
665	31920	18979
666	31972	18933
667	32016	18884
668	32063	18835
669	32107	18785
670	32152	18735
671	32198	18686
672	32247	18639
673	32299	18593
674	32338	18540
675	32387	18493
676	32432	18443
677	32477	18394
678	32526	18347
679	32575	18300
680	32621	18250
681	32671	18204
682	32718	18155
683	32770	18109
684	32814	18059
685	32857	18009
686	32904	17961
687	32950	17912
688	32994	17861
689	33039	17812
690	33085	17763
691	33130	17714
692	33174	17664
693	33219	17614
694	33269	17568
695	33315	17519
696	33359	17469
697	33405	17420
698	33451	17371
699	33496	17322
700	33540	17272
701	33582	17221
702	33626	17171
703	33670	17121
704	33714	17072
705	33760	17023
706	33805	16974
707	33853	16926
708	33896	16876
709	33939	16826
710	33984	16777
711	34030	16728
712	34077	16680
713	34121	16630
714	34165	16581
715	34209	16531
716	34253	16481
717	34293	16430
718	34333	16378
719	34379	16330
720	34423	16280
721	34428	16212
722	34472	16163
723	34518	16115
724	34566	16067
725	34610	16018
726	34656	15969
727	34700	15920
728	34748	15872
729	34794	15824
730	34840	15776
731	34887	15727
732	34933	15679
733	34977	15630
734	35032	15585
735	35041	15521
736	35089	15473
737	35096	15408
738	35148	15362
739	35191	15313
740	35237	15264
741	35279	15214
742	35323	15165
743	35372	15119
744	35419	15070
745	35424	15005
746	35471	14957
747	35515	14908
748	35561	14860
749	35608	14813
750	35659	14767
751	35701	14717
752	35746	14668
753	35790	14620
754	35836	14571
755	35880	14522
756	35884	14458
757	35929	14409
758	35982	14364
759	36032	14318
760	36079	14270
761	36126	14223
762	36179	14177
763	36222	14128
764	36268	14080
765	36314	14032
766	36362	13985
767	36407	13937
768	36450	13888
769	36495	13839
770	36539	13791
771	36584	13742
772	36632	13695
773	36675	13646
774	36724	13600
775	36772	13552
776	36818	13504
777	36870	13459
778	36917	13411
779	36961	13362
780	37007	13315
781	37054	13267
782	37097	13218
783	37141	13170
784	37186	13121
785	37236	13075
786	37285	13028
787	37330	12980
788	37373	12931
789	37420	12884
790	37468	12836
791	37512	12788
792	37564	12742
793	37606	12693
794	37651	12645
795	37697	12597
796	37739	12548
797	37785	12500
798	37830	12452
799	37878	12405
800	37925	12357
801	37971	12309
802	38017	12262
803	38062	12213
804	38110	12167
805	38155	12118
806	38202	12071
807	38248	12023
808	38292	11975
809	38336	11927
810	38388	11881
811	38438	11834
812	38485	11786
813	38534	11740
814	38583	11693
815	38635	11647
816	38692	11602
817	38738	11555
818	38790	11509
819	38843	11463
820	38891	11416
821	38938	11369
822	38990	11322
823	39034	11274
824	39089	11229
825	39141	11183
826	39186	11135
827	39235	11088
828	39292	11043
829	39344	10997
830	39388	10949
831	39443	10903
832	39503	10859
833	39554	10813
834	39606	10767
835	39650	10718
836	39700	10672
837	39747	10624
838	39804	10579
839	39863	10535
840	39918	10489
841	39978	10445
842	40027	10398
843	40073	10350
844	40122	10303
845	40174	10257
846	40225	10210
847	40269	10162
848	40311	10113
849	40361	10066
850	40411	10019
851	40465	9973
852	40523	9928
853	40577	9883
